"","857cae3c0822cfeb18feba23973fbf9c","088974947d04ffbc9a4be85b9b405e6e","6a155a1918b447b59a57dae757e2b44c","c1244b49f9e6969be171225f16de3758","5bad57fa3830c1d4c9ba79dbed27091b","48246b976d5804a3c4c713914edd76d7"
"ro_bin.2",0,0.49,0,0,0.05,0
"ro_bin.28",0,0.03,0,0,0,0.04
"co_bin.52",0.14,0,0.41,0.55,0.01,0.06
"co_bin.41",0,0,0,0,0,0.32
"co_bin.27",0.01,0.78,0,0,0.08,0
"ro_bin.24",0.33,0.66,0.72,0.93,0.74,0.85
"co_bin.26",0.02,0.28,0,0.01,0.16,0.07
"rh_bin.36",0,0.2,0,0,0,0.02
"rh_bin.8",0.89,0.02,0.29,0.28,0.19,0
"co_bin.28",0,0.84,0,0.01,0.22,0
"co_bin.42",0,0.31,0,0,0.05,0
"ro_bin.15",0.09,0.19,0.1,0.54,0.88,0.07
"ro_bin.6",0.11,0.75,0.16,0.02,0.33,0.41
"co_bin.29",0,0,0.01,0.01,0,0.7
"ro_bin.17",0.01,0.04,0,0,0,0.09
"ro_bin.10",0,0.08,0,0,0,0.04
"co_bin.70",0,0.07,0,0,0,0.01
"ro_bin.37",0,0.04,0,0,0,0.02
"co_bin.32",0,0.77,0,0,0.11,0
"ro_bin.3",0,0.31,0,0,0.01,0
"co_bin.12",0,0.17,0,0,0.01,0.02
"co_bin.37",0,0.43,0,0,0.03,0
"ro_bin.38",0,0.11,0,0,0.02,0
"ro_bin.4",0.1,0.33,0,0.02,0.98,0
"co_bin.3",0.26,0.23,0.89,0.43,0.92,0.5
"co_bin.51",0.28,0.05,0.22,0.01,0.04,0.31
"co_bin.16",0,0,0,0,0,0.63
"co_bin.7",0.03,0,0.02,0.02,0,0.31
"rh_bin.30",0,0.22,0,0,0.08,0.01
"rh_bin.21",0,0,0,0,0,0.2
"co_bin.14",0,0.03,0,0,0,0.04
"rh_bin.9",0,0.05,0,0.01,0,0.07
"co_bin.36",0.91,0.01,0.94,0.7,0.11,0.13
"ro_bin.47",0,0.07,0,0,0,0.02
"co_bin.66",0.31,0.07,0.3,0.4,0.62,0.01
"co_bin.63",0.11,0.04,0.03,0.86,0.08,0.87
"co_bin.22",0.36,0.47,0.02,0.1,0.59,0.19
"co_bin.43",0,0.01,0,0,0,0.21
"co_bin.34",0,0.94,0,0,0.14,0
"co_bin.58",0.01,0,0,0,0,0.78
"co_bin.54",0.04,0.85,0.31,0.38,0.27,0.65
"co_bin.2",0,0.05,0,0,0,0.02
